,endTime,artistName,trackName,msPlayed,full_track,segsPlayed,In Library,uri_tot
2015,2021-03-24 03:46,Charly García,Cerca De La Revolucion,280544,Cerca De La Revolucion:Charly García,280.54,0,6KrSQXiwgnWBv6E4tTjbdF
2016,2021-03-24 03:49,Charly García,Parte de la Religión,186596,Parte de la Religión:Charly García,186.6,0,10j7m614MuWqj6qgWKeaw7
2018,2021-03-24 03:52,Charly García,Los Dinosaurios,208093,Los Dinosaurios:Charly García,208.09,0,3VCKdfJAL8DTDlwZw5O6Ik
2020,2021-03-24 03:53,Sui Generis,Necesito,25357,Necesito:Sui Generis,25.36,1,7H62s62eUQqYXTA3WsrTK7
2022,2021-03-24 03:55,Charly García,No Se Va A Llamar Mi Amor,130311,No Se Va A Llamar Mi Amor:Charly García,130.31,0,5ZhxwR8J7VJC5CorjuogMD
2024,2021-03-24 03:57,Serú Girán,Parado En El Medio De La Vida,142653,Parado En El Medio De La Vida:Serú Girán,142.65,0,1Mn80408bNfNXxco5jyMMI
2026,2021-03-24 04:02,Gustavo Cerati,Fuerza Natural,289925,Fuerza Natural:Gustavo Cerati,289.92,1,4nISKMNTbWKrZpGFI44pIz
2027,2021-03-24 04:05,Gustavo Cerati,Cactus,163912,Cactus:Gustavo Cerati,163.91,1,1NeZxBuSEhikl0ZrOSgpuW
2028,2021-03-24 04:12,Charly García,Serú Giran Medley - Live,416133,Serú Giran Medley - Live:Charly García,416.13,1,1lrmmpIgUeluYHmPN5lhxr
2029,2021-03-24 04:15,Mercedes Sosa,Desarma y Sangra (with Charly García),170293,Desarma y Sangra (with Charly García):Mercedes Sosa,170.29,1,6fvgUK9XzJBl0wPIM9iwRs
2031,2021-03-24 04:19,Fito Paez,Tu Vida Mi Vida,252866,Tu Vida Mi Vida:Fito Paez,252.87,0,3UA8Vjo0hQXGJnoeQF1SOL
2032,2021-03-24 04:22,Gustavo Cerati,Tu Locura,149863,Tu Locura:Gustavo Cerati,149.86,0,1nCCY0KmVlfn8WUmGYYwLf
2033,2021-03-24 04:26,Soda Stereo,Un Misil En Mi Placard - MTV Unplugged,274586,Un Misil En Mi Placard - MTV Unplugged:Soda Stereo,274.59,1,7IJC1qatyg2t8SZiwJRvID
2035,2021-03-24 04:29,Almendra,Muchacha (Ojos de Papel),184460,Muchacha (Ojos de Papel):Almendra,184.46,0,6GPkBUXMrGSkwK3TrrHHXN
2036,2021-03-24 04:34,Serú Girán,Viernes 3 AM,251559,Viernes 3 AM:Serú Girán,251.56,0,0O5UPTII4Q4zrMXBSVtBiD
2038,2021-03-24 04:38,Gustavo Cerati,Lisa,265680,Lisa:Gustavo Cerati,265.68,0,3ac2SnHk4KYjP2Au4ZL7eu
2039,2021-03-24 04:42,Serú Girán,Mundo Agradable,251009,Mundo Agradable:Serú Girán,251.01,1,1zMSZbxk4dDAHxBS5V07KT
2041,2021-03-24 04:46,Fito Paez,11 Y 6,1207,11 Y 6:Fito Paez,1.21,1,2PkTjm1QAJCZbJ9MqC4RqA
2052,2021-03-24 04:47,Sui Generis,Cuando Ya Me Empiece a Quedar Solo,103078,Cuando Ya Me Empiece a Quedar Solo:Sui Generis,103.08,1,60tOZaaBTUXfiqxShmGEY1
2053,2021-03-24 14:34,Sui Generis,Cuando Ya Me Empiece a Quedar Solo,114894,Cuando Ya Me Empiece a Quedar Solo:Sui Generis,114.89,1,60tOZaaBTUXfiqxShmGEY1
2054,2021-03-24 14:37,Mercedes Sosa,El Ángel de la Bicicleta (with Gustavo Cordera),9045,El Ángel de la Bicicleta (with Gustavo Cordera):Mercedes Sosa,9.04,1,0N4CRVTYBZhN0UPDKqhQYD
