,track_uri,artist_uri,genres
378,4Egu7kAjEmygXrtX2n7AIV,3vQ0GE3mI0dAaxIMYe5g7z,trap latino
379,5NOtC9vnvCuEy6IaNflffX,0yNSzH5nZmHzeE2xn6Xshb,latin
379,5NOtC9vnvCuEy6IaNflffX,0yNSzH5nZmHzeE2xn6Xshb,latin afrobeat
379,5NOtC9vnvCuEy6IaNflffX,0yNSzH5nZmHzeE2xn6Xshb,latin alternative
379,5NOtC9vnvCuEy6IaNflffX,0yNSzH5nZmHzeE2xn6Xshb,latin hip hop
379,5NOtC9vnvCuEy6IaNflffX,0yNSzH5nZmHzeE2xn6Xshb,puerto rican rock
379,5NOtC9vnvCuEy6IaNflffX,0yNSzH5nZmHzeE2xn6Xshb,rap conciencia
379,5NOtC9vnvCuEy6IaNflffX,0yNSzH5nZmHzeE2xn6Xshb,reggaeton
379,5NOtC9vnvCuEy6IaNflffX,0yNSzH5nZmHzeE2xn6Xshb,rock en espanol
380,6Ao6cvOVF6DsI7Pl0LiiZ5,5ayyPSqoObeTOj1UGtM79C,rap uruguayo
381,5Mfz3Aoj1txhueNZUXSUnV,5YCc6xS5Gpj3EkaYGdjyNK,argentine indie
381,5Mfz3Aoj1txhueNZUXSUnV,5YCc6xS5Gpj3EkaYGdjyNK,trap argentino
382,0QBMEboyu2DxFTKGbI5nl7,4ZDoy7AWNgQVmX7T0u0B1j,latin alternative
382,0QBMEboyu2DxFTKGbI5nl7,4ZDoy7AWNgQVmX7T0u0B1j,latin rock
382,0QBMEboyu2DxFTKGbI5nl7,4ZDoy7AWNgQVmX7T0u0B1j,rock en espanol
382,0QBMEboyu2DxFTKGbI5nl7,4ZDoy7AWNgQVmX7T0u0B1j,rock uruguayo
383,2aoaTP39LTDPGHxSKj9OW5,0wn2qDKzeFlhjRUtJAwJjp,argentine alternative rock
383,2aoaTP39LTDPGHxSKj9OW5,0wn2qDKzeFlhjRUtJAwJjp,argentine indie
383,2aoaTP39LTDPGHxSKj9OW5,0wn2qDKzeFlhjRUtJAwJjp,latin rock
383,2aoaTP39LTDPGHxSKj9OW5,0wn2qDKzeFlhjRUtJAwJjp,mexican indie
384,7kh95COsNZjnTmc6aF76n7,3vQ0GE3mI0dAaxIMYe5g7z,argentine hip hop
384,7kh95COsNZjnTmc6aF76n7,3vQ0GE3mI0dAaxIMYe5g7z,trap argentino
384,7kh95COsNZjnTmc6aF76n7,3vQ0GE3mI0dAaxIMYe5g7z,trap latino
385,1UAQ5fMPGXDzVZO9jojOUV,0bYQe0JDIjxkSHQoXlfngl,argentine hip hop
385,1UAQ5fMPGXDzVZO9jojOUV,0bYQe0JDIjxkSHQoXlfngl,bases de freestyle
385,1UAQ5fMPGXDzVZO9jojOUV,0bYQe0JDIjxkSHQoXlfngl,rap underground espanol
386,4MdTIqNWIhd3fgnsSfOTxY,7f4QZ3v32jtmstrh7VHfJL,argentine indie
386,4MdTIqNWIhd3fgnsSfOTxY,7f4QZ3v32jtmstrh7VHfJL,latin funk
386,4MdTIqNWIhd3fgnsSfOTxY,7f4QZ3v32jtmstrh7VHfJL,rap conciencia
387,7jcXQXxo0lvpwg2twqJpqc,79R7PUc6T6j09G8mJzNml2,argentine alternative rock
387,7jcXQXxo0lvpwg2twqJpqc,79R7PUc6T6j09G8mJzNml2,argentine indie
388,6YAoJWrh22Luk5X7k3oGJl,79R7PUc6T6j09G8mJzNml2,argentine alternative rock
388,6YAoJWrh22Luk5X7k3oGJl,79R7PUc6T6j09G8mJzNml2,argentine indie
389,4yFh5okeS2u5iO5vAsBsHc,6jRUKVZllu1wtgXHbqvUmT,argentine indie
389,4yFh5okeS2u5iO5vAsBsHc,6jRUKVZllu1wtgXHbqvUmT,argentine reggae
389,4yFh5okeS2u5iO5vAsBsHc,6jRUKVZllu1wtgXHbqvUmT,argentine rock
389,4yFh5okeS2u5iO5vAsBsHc,6jRUKVZllu1wtgXHbqvUmT,latin rock
389,4yFh5okeS2u5iO5vAsBsHc,6jRUKVZllu1wtgXHbqvUmT,rock en espanol
390,2Til97fBo9aqwyC1Q8VG1g,1bZNv4q3OxYq7mmnLha7Tu,argentine rock
390,2Til97fBo9aqwyC1Q8VG1g,1bZNv4q3OxYq7mmnLha7Tu,latin alternative
390,2Til97fBo9aqwyC1Q8VG1g,1bZNv4q3OxYq7mmnLha7Tu,latin rock
390,2Til97fBo9aqwyC1Q8VG1g,1bZNv4q3OxYq7mmnLha7Tu,rock en espanol
390,2Til97fBo9aqwyC1Q8VG1g,1bZNv4q3OxYq7mmnLha7Tu,rock nacional
391,6kWkEtPDcq54OSg7OO3dEv,5lCqW8vcd4TyTHzGIuKdH8,argentine rock
391,6kWkEtPDcq54OSg7OO3dEv,5lCqW8vcd4TyTHzGIuKdH8,latin alternative
391,6kWkEtPDcq54OSg7OO3dEv,5lCqW8vcd4TyTHzGIuKdH8,latin rock
391,6kWkEtPDcq54OSg7OO3dEv,5lCqW8vcd4TyTHzGIuKdH8,rock en espanol
391,6kWkEtPDcq54OSg7OO3dEv,5lCqW8vcd4TyTHzGIuKdH8,rock nacional
392,4rPadi9cPRHdKIUir2zMtw,2wjmZuSHtRx96Qxb8HiP2o,argentine rock
392,4rPadi9cPRHdKIUir2zMtw,2wjmZuSHtRx96Qxb8HiP2o,latin alternative
392,4rPadi9cPRHdKIUir2zMtw,2wjmZuSHtRx96Qxb8HiP2o,latin rock
392,4rPadi9cPRHdKIUir2zMtw,2wjmZuSHtRx96Qxb8HiP2o,rock en espanol
392,4rPadi9cPRHdKIUir2zMtw,2wjmZuSHtRx96Qxb8HiP2o,rock nacional
393,150xRZE9rtvEPdedbf3y3l,1uNFoZAHBGtllmzznpCI3s,canadian pop
393,150xRZE9rtvEPdedbf3y3l,1uNFoZAHBGtllmzznpCI3s,pop
394,2ykVClsHmxPfy0Mi99OfTU,0UWZUmn7sybxMCqrw9tGa7,colombian pop
394,2ykVClsHmxPfy0Mi99OfTU,0UWZUmn7sybxMCqrw9tGa7,latin
394,2ykVClsHmxPfy0Mi99OfTU,0UWZUmn7sybxMCqrw9tGa7,latin pop
394,2ykVClsHmxPfy0Mi99OfTU,0UWZUmn7sybxMCqrw9tGa7,mexican pop
394,2ykVClsHmxPfy0Mi99OfTU,0UWZUmn7sybxMCqrw9tGa7,rock en espanol
394,2ykVClsHmxPfy0Mi99OfTU,0UWZUmn7sybxMCqrw9tGa7,tropical
